Genre,Type,Source,Producer,Studio,Rating,Members,ScoredBy,Episodes,C_Popular
6,0,6,18,58,6.77,15661.0,8616.0,1.0,0
1,5,9,0,35,6.73,7985.0,3253.0,13.0,1
1,3,15,0,35,6.84,2423.0,1071.0,2.0,1
6,5,5,79,0,7.21,13017.0,3021.0,24.0,0
1,3,6,11,27,6.55,4733.0,2297.0,2.0,1
0,3,4,80,2,6.22,11682.0,4861.0,4.0,1
1,5,9,3,9,8.03,51821.0,22805.0,51.0,0
6,3,9,60,9,7.65,10490.0,5604.0,1.0,1
1,3,9,60,9,7.98,10470.0,5410.0,1.0,1
9,0,6,12,1,7.69,221526.0,146545.0,1.0,0
6,0,8,64,36,8.73,479791.0,333104.0,1.0,0
0,3,9,0,59,7.18,12695.0,5669.0,6.0,1
0,3,9,81,16,5.6,4247.0,2143.0,1.0,1
6,5,6,57,14,7.52,40565.0,18736.0,20.0,0
0,3,12,58,60,6.62,10412.0,4628.0,3.0,1
22,0,9,30,4,7.59,27572.0,14865.0,1.0,0
1,3,9,0,21,7.39,36027.0,22844.0,1.0,0
0,5,15,71,31,6.68,7728.0,3023.0,13.0,1
0,5,15,71,61,6.81,14326.0,5600.0,25.0,1
6,0,6,82,0,7.75,63734.0,37542.0,1.0,0
6,0,6,82,0,7.75,63734.0,37542.0,1.0,0
6,0,6,82,0,7.88,59934.0,34334.0,1.0,0
1,3,9,83,15,6.3,16957.0,8182.0,1.0,0
6,5,6,43,62,8.74,406985.0,147030.0,26.0,0
0,0,6,84,34,7.29,47009.0,28123.0,1.0,0
0,0,6,84,34,7.7,49878.0,28980.0,1.0,0
6,0,6,13,34,7.75,47369.0,27883.0,1.0,0
6,0,6,84,34,7.41,39866.0,22585.0,1.0,0
0,5,6,0,13,8.46,251675.0,110151.0,26.0,0
1,5,6,85,4,7.28,124536.0,66080.0,24.0,0
2,5,12,58,12,6.67,18792.0,7188.0,13.0,0
0,5,9,0,30,6.72,5308.0,2236.0,12.0,1
2,3,9,79,50,7.79,28087.0,14762.0,4.0,0
20,5,6,3,17,7.75,95786.0,30599.0,13.0,0
20,5,6,3,17,7.75,95786.0,30599.0,13.0,0
0,5,9,35,39,7.18,55010.0,23082.0,26.0,0
6,5,6,29,3,7.57,184021.0,113224.0,224.0,0
0,5,6,3,3,7.23,102735.0,60013.0,180.0,0
8,5,0,86,53,7.38,8851.0,4508.0,26.0,1
8,5,0,18,21,7.73,55318.0,22899.0,12.0,0
1,5,9,12,63,7.47,40095.0,12620.0,12.0,0
1,5,6,80,64,7.53,44120.0,15267.0,26.0,0
6,5,6,24,19,6.82,13094.0,4544.0,26.0,1
6,0,8,20,2,6.69,3618.0,1251.0,1.0,1
0,3,9,87,16,6.23,3096.0,1179.0,3.0,1
6,3,8,88,2,6.3,9375.0,4515.0,1.0,1
2,5,6,89,65,7.47,5240.0,1528.0,23.0,1
1,3,6,12,61,7.08,24285.0,14466.0,2.0,0
1,5,12,90,40,5.96,4019.0,940.0,13.0,1
6,5,4,91,66,6.26,3939.0,1306.0,13.0,1
1,5,6,3,0,7.88,40620.0,11371.0,358.0,0
1,5,6,23,4,7.41,18691.0,8085.0,26.0,0
6,5,6,92,54,7.11,40645.0,20563.0,52.0,0
6,0,6,20,2,7.6,55938.0,27403.0,1.0,0
6,0,9,36,36,8.45,403817.0,261626.0,1.0,0
1,3,9,0,21,7.11,24487.0,14870.0,1.0,0
6,5,9,6,13,7.05,12192.0,3183.0,26.0,1
2,3,6,2,13,7.26,9104.0,3378.0,6.0,1
0,5,4,3,12,7.42,297525.0,170701.0,276.0,0
0,0,4,3,12,7.66,126331.0,86299.0,1.0,0
9,5,6,38,9,7.27,67551.0,27968.0,13.0,0
25,5,6,26,34,7.73,182852.0,95909.0,46.0,0
2,5,6,26,34,7.9,80429.0,45267.0,38.0,0
6,5,5,93,51,7.85,89016.0,42535.0,26.0,0
